freq(Hz) real imag
-1666666.6666667 47.554 -23.787
-1665039.0625000 54.605 -25.735
-1663411.4583333 56.606 -23.356
-1661783.8541667 54.733 -25.257
-1660156.2500000 52.235 -31.247
-1658528.6458333 58.453 -44.404
-1656901.0416667 74.892 -44.215
-1655273.4375000 80.082 -35.162
-1653645.8333333 77.308 -29.227
-1652018.2291667 72.282 -34.525
-1650390.6250000 81.591 -37.553
-1648763.0208333 77.626 -32.068
-1647135.4166667 81.426 -45.785
-1645507.8125000 97.424 -35.770
-1643880.2083333 87.169 -28.600
-1642252.6041667 89.106 -35.959
-1640625.0000000 93.111 -35.944
-1638997.3958333 101.985 -33.512
-1637369.7916667 96.691 -22.458
-1635742.1875000 95.412 -33.414
-1634114.5833333 107.193 -21.411
-1632486.9791667 89.402 -18.226
-1630859.3750000 97.472 -31.427
-1629231.7708333 101.144 -20.888
-1627604.1666667 99.089 -23.708
-1625976.5625000 100.887 -15.680
-1624348.9583333 90.563 -19.632
-1622721.3541667 97.143 -24.470
-1621093.7500000 95.588 -22.780
-1619466.1458333 101.540 -26.178
-1617838.5416667 102.539 -18.457
-1616210.9375000 101.101 -19.909
-1614583.3333333 101.920 -13.358
-1612955.7291667 92.541 -14.943
-1611328.1250000 94.476 -21.755
-1609700.5208333 98.170 -22.162
-1608072.9166667 99.145 -18.572
-1606445.3125000 93.719 -22.411
-1604817.7083333 103.953 -28.112
-1603190.1041667 107.063 -18.277
-1601562.5000000 107.180 -17.552
-1599934.8958333 104.326 -5.658
-1598307.2916667 89.754 -14.902
-1596679.6875000 103.389 -20.511
-1595052.0833333 97.185 -10.499
-1593424.4791667 97.022 -20.152
-1591796.8750000 99.516 -13.242
-1590169.2708333 95.230 -19.794
-1588541.6666667 102.604 -14.802
-1586914.0625000 91.994 -15.288
-1585286.4583333 99.377 -21.234
-1583658.8541667 95.041 -16.833
-1582031.2500000 101.522 -25.541
-1580403.6458333 102.830 -11.390
-1578776.0416667 92.773 -22.230
-1577148.4375000 107.309 -19.455
-1575520.8333333 94.707 -14.960
-1573893.2291667 105.338 -25.545
-1572265.6250000 104.759 -8.409
-1570638.0208333 94.547 -17.996
-1569010.4166667 102.648 -15.926
-1567382.8125000 94.495 -16.835
-1565755.2083333 101.351 -21.608
-1564127.6041667 100.197 -18.332
-1562500.0000000 105.504 -19.735
-1560872.3958333 101.181 -10.894
-1559244.7916667 98.077 -19.536
-1557617.1875000 103.489 -13.755
-1555989.5833333 95.161 -16.708
-1554361.9791667 103.165 -18.794
-1552734.3750000 97.250 -14.172
-1551106.7708333 100.624 -21.143
-1549479.1666667 100.568 -13.596
-1547851.5625000 96.599 -21.652
-1546223.9583333 106.372 -18.645
-1544596.3541667 100.233 -13.338
-1542968.7500000 99.265 -16.800
-1541341.1458333 99.198 -18.403
-1539713.5416667 104.708 -17.551
-1538085.9375000 99.745 -10.361
-1536458.3333333 95.699 -16.056
-1534830.7291667 95.049 -15.313
-1533203.1250000 92.946 -24.918
-1531575.5208333 105.794 -23.943
-1529947.9166667 101.512 -16.554
-1528320.3125000 102.556 -20.002
-1526692.7083333 101.877 -15.643
-1525065.1041667 100.848 -18.492
-1523437.5000000 100.539 -16.003
-1521809.8958333 101.043 -21.983
-1520182.2916667 109.077 -13.306
-1518554.6875000 95.552 -9.459
-1516927.0833333 98.162 -18.353
-1515299.4791667 96.619 -13.509
-1513671.8750000 95.801 -21.355
-1512044.2708333 100.397 -16.764
-1510416.6666667 95.716 -20.288
-1508789.0625000 103.166 -18.881
-1507161.4583333 96.005 -15.164
-1505533.8541667 98.434 -21.100
-1503906.2500000 97.496 -17.779
-1502278.6458333 100.268 -23.061
-1500651.0416667 101.972 -13.282
-1499023.4375000 91.864 -19.046
-1497395.8333333 99.987 -21.896
-1495768.2291667 95.252 -20.298
-1494140.6250000 103.390 -25.074
-1492513.0208333 100.976 -13.208
-1490885.4166667 94.883 -21.710
-1489257.8125000 101.360 -18.067
-1487630.2083333 92.980 -19.803
-1486002.6041667 101.003 -24.475
-1484375.0000000 98.803 -17.263
-1482747.3958333 96.920 -21.730
-1481119.7916667 97.733 -20.286
-1479492.1875000 98.250 -22.820
-1477864.5833333 98.218 -18.068
-1476236.9791667 92.774 -24.428
-1474609.3750000 102.090 -24.840
-1472981.7708333 96.059 -19.310
-1471354.1666667 96.939 -26.693
-1469726.5625000 99.224 -23.303
-1468098.9583333 99.008 -27.051
-1466471.3541667 103.814 -22.693
-1464843.7500000 98.850 -21.274
-1463216.1458333 99.641 -22.103
-1461588.5416667 96.140 -23.439
-1459960.9375000 100.729 -26.590
-1458333.3333333 99.221 -22.797
-1456705.7291667 100.605 -27.791
-1455078.1250000 103.568 -22.174
-1453450.5208333 99.542 -24.725
-1451822.9166667 104.823 -22.846
-1450195.3125000 99.458 -20.843
-1448567.7083333 102.976 -22.785
-1446940.1041667 97.908 -18.263
-1445312.5000000 99.088 -25.900
-1443684.8958333 100.923 -17.629
-1442057.2916667 91.814 -25.188
-1440429.6875000 103.670 -27.150
-1438802.0833333 97.013 -19.997
-1437174.4791667 99.363 -28.744
-1435546.8750000 102.835 -19.777
-1433919.2708333 94.252 -22.147
-1432291.6666667 96.794 -25.685
-1430664.0625000 96.243 -27.534
-1429036.4583333 101.109 -28.072
-1427408.8541667 99.379 -24.589
-1425781.2500000 98.702 -27.291
-1424153.6458333 100.903 -28.204
-1422526.0416667 105.199 -24.641
-1420898.4375000 96.873 -18.299
-1419270.8333333 93.552 -30.958
-1417643.2291667 104.574 -28.087
-1416015.6250000 98.547 -25.074
-1414388.0208333 103.687 -27.460
-1412760.4166667 99.202 -20.874
-1411132.8125000 98.330 -27.914
-1409505.2083333 100.645 -22.403
-1407877.6041667 94.886 -26.800
-1406250.0000000 100.448 -26.828
-1404622.3958333 95.988 -26.701
-1402994.7916667 101.250 -28.190
-1401367.1875000 94.968 -24.529
-1399739.5833333 99.573 -33.847
-1398111.9791667 101.438 -21.845
-1396484.3750000 90.354 -32.669
-1394856.7708333 107.899 -34.554
-1393229.1666667 100.100 -21.751
-1391601.5625000 98.155 -31.731
-1389973.9583333 102.678 -26.499
-1388346.3541667 98.211 -27.588
-1386718.7500000 98.619 -27.613
-1385091.1458333 97.235 -32.248
-1383463.5416667 103.469 -30.598
-1381835.9375000 99.180 -30.512
-1380208.3333333 108.379 -32.496
-1378580.7291667 104.980 -19.773
-1376953.1250000 98.081 -25.123
-1375325.5208333 98.560 -22.760
-1373697.9166667 92.923 -29.850
-1372070.3125000 102.771 -29.919
-1370442.7083333 95.206 -25.293
-1368815.1041667 99.740 -34.006
-1367187.5000000 102.646 -23.394
-1365559.8958333 92.504 -25.606
-1363932.2916667 93.093 -31.507
-1362304.6875000 96.582 -36.542
-1360677.0833333 103.616 -31.495
-1359049.4791667 96.864 -29.149
-1357421.8750000 101.056 -32.759
-1355794.2708333 97.500 -26.921
-1354166.6666667 95.822 -34.843
-1352539.0625000 100.310 -32.468
-1350911.4583333 100.229 -35.875
-1349283.8541667 107.342 -27.968
-1347656.2500000 93.419 -26.043
-1346028.6458333 101.342 -37.216
-1344401.0416667 102.773 -23.594
-1342773.4375000 92.219 -30.054
-1341145.8333333 98.227 -32.736
-1339518.2291667 96.494 -33.214
-1337890.6250000 101.970 -32.112
-1336263.0208333 95.511 -27.371
-1334635.4166667 94.666 -34.072
-1333007.8125000 95.035 -33.189
-1331380.2083333 96.719 -39.453
-1329752.6041667 103.785 -33.744
-1328125.0000000 96.912 -30.534
-1326497.3958333 96.153 -34.897
-1324869.7916667 98.133 -37.432
-1323242.1875000 102.940 -33.955
-1321614.5833333 95.762 -31.613
-1319986.9791667 100.480 -38.775
-1318359.3750000 101.183 -28.797
-1316731.7708333 94.148 -35.976
-1315104.1666667 102.495 -32.685
-1313476.5625000 89.986 -32.416
-1311848.9583333 101.106 -44.915
-1310221.3541667 105.147 -27.879
-1308593.7500000 91.514 -32.011
-1306966.1458333 96.720 -36.748
-1305338.5416667 94.390 -35.444
-1303710.9375000 94.962 -39.230
-1302083.3333333 97.506 -41.472
-1300455.7291667 102.871 -37.632
-1298828.1250000 94.888 -34.008
-1297200.5208333 97.001 -43.386
-1295572.9166667 100.740 -37.995
-1293945.3125000 99.692 -43.515
-1292317.7083333 109.968 -34.881
-1290690.1041667 95.001 -28.223
-1289062.5000000 95.889 -39.192
-1287434.8958333 94.745 -34.435
-1285807.2916667 92.581 -45.935
-1284179.6875000 104.889 -43.288
-1282552.0833333 101.252 -38.072
-1280924.4791667 102.969 -37.856
-1279296.8750000 99.057 -34.616
-1277669.2708333 97.454 -37.226
-1276041.6666667 95.391 -39.750
-1274414.0625000 103.417 -43.434
-1272786.4583333 102.632 -29.496
-1271158.8541667 88.234 -36.223
-1269531.2500000 95.598 -44.928
-1267903.6458333 98.621 -42.849
-1266276.0416667 101.475 -38.947
-1264648.4375000 91.279 -37.320
-1263020.8333333 95.955 -50.957
-1261393.2291667 104.578 -41.727
-1259765.6250000 98.283 -42.265
-1258138.0208333 102.798 -39.286
-1256510.4166667 91.764 -39.200
-1254882.8125000 98.134 -50.044
-1253255.2083333 101.303 -43.154
-1251627.6041667 100.112 -47.012
-1250000.0000000 103.673 -43.476
